datetime_us,datetime_kr,open,high,low,last,evol,us_time,kr_time,macd,signal,histogram
2025-09-02 15:25:00-04:00,2025-09-03 04:25:00+09:00,16.1006,16.1006,16.0942,16.1,5064,2025-09-02 15:25:00,2025-09-03 04:25:00,,,
2025-09-02 15:30:00-04:00,2025-09-03 04:30:00+09:00,16.1,16.1,16.08,16.08,143,2025-09-02 15:30:00,2025-09-03 04:30:00,,,
2025-09-02 15:35:00-04:00,2025-09-03 04:35:00+09:00,16.094,16.1035,16.094,16.1,5833,2025-09-02 15:35:00,2025-09-03 04:35:00,,,
2025-09-02 15:40:00-04:00,2025-09-03 04:40:00+09:00,16.1,16.1,16.08,16.08,295,2025-09-02 15:40:00,2025-09-03 04:40:00,,,
2025-09-02 15:45:00-04:00,2025-09-03 04:45:00+09:00,16.1085,16.11,16.1,16.1,793,2025-09-02 15:45:00,2025-09-03 04:45:00,,,
2025-09-02 15:50:00-04:00,2025-09-03 04:50:00+09:00,16.11,16.11,16.0883,16.0883,3045,2025-09-02 15:50:00,2025-09-03 04:50:00,,,
2025-09-02 15:55:00-04:00,2025-09-03 04:55:00+09:00,16.0883,16.105,16.0883,16.105,401,2025-09-02 15:55:00,2025-09-03 04:55:00,,,
2025-09-02 16:00:00-04:00,2025-09-03 05:00:00+09:00,16.105,16.105,16.1,16.1,58,2025-09-02 16:00:00,2025-09-03 05:00:00,,,
2025-09-02 16:10:00-04:00,2025-09-03 05:10:00+09:00,16.1,16.1,16.1,16.1,2,2025-09-02 16:10:00,2025-09-03 05:10:00,,,
2025-09-03 09:30:00-04:00,2025-09-03 22:30:00+09:00,16.1,16.13,16.1,16.125,3309,2025-09-03 09:30:00,2025-09-03 22:30:00,,,
2025-09-03 09:35:00-04:00,2025-09-03 22:35:00+09:00,16.125,16.125,16.11,16.11,849,2025-09-03 09:35:00,2025-09-03 22:35:00,,,
2025-09-03 09:40:00-04:00,2025-09-03 22:40:00+09:00,16.11,16.11,16.095,16.102,978,2025-09-03 09:40:00,2025-09-03 22:40:00,,,
2025-09-03 09:45:00-04:00,2025-09-03 22:45:00+09:00,16.102,16.113,16.102,16.102,2992,2025-09-03 09:45:00,2025-09-03 22:45:00,,,
2025-09-03 09:50:00-04:00,2025-09-03 22:50:00+09:00,16.102,16.102,16.102,16.102,2,2025-09-03 09:50:00,2025-09-03 22:50:00,,,
2025-09-03 09:55:00-04:00,2025-09-03 22:55:00+09:00,16.102,16.105,16.07,16.07,2250,2025-09-03 09:55:00,2025-09-03 22:55:00,,,
2025-09-03 10:00:00-04:00,2025-09-03 23:00:00+09:00,16.07,16.08,16.07,16.08,2493,2025-09-03 10:00:00,2025-09-03 23:00:00,,,
2025-09-03 10:05:00-04:00,2025-09-03 23:05:00+09:00,16.0801,16.11,16.0801,16.09,1911,2025-09-03 10:05:00,2025-09-03 23:05:00,,,
2025-09-03 10:10:00-04:00,2025-09-03 23:10:00+09:00,16.09,16.09,16.09,16.09,6,2025-09-03 10:10:00,2025-09-03 23:10:00,,,
2025-09-03 10:15:00-04:00,2025-09-03 23:15:00+09:00,16.09,16.11,16.08,16.11,4677,2025-09-03 10:15:00,2025-09-03 23:15:00,,,
2025-09-03 10:20:00-04:00,2025-09-03 23:20:00+09:00,16.11,16.11,16.084,16.09,4103,2025-09-03 10:20:00,2025-09-03 23:20:00,,,
2025-09-03 10:25:00-04:00,2025-09-03 23:25:00+09:00,16.09,16.1099,16.09,16.0962,408,2025-09-03 10:25:00,2025-09-03 23:25:00,,,
2025-09-03 10:30:00-04:00,2025-09-03 23:30:00+09:00,16.0962,16.11,16.095,16.11,294,2025-09-03 10:30:00,2025-09-03 23:30:00,,,
2025-09-03 10:35:00-04:00,2025-09-03 23:35:00+09:00,16.11,16.11,16.11,16.11,6,2025-09-03 10:35:00,2025-09-03 23:35:00,,,
