datetime,open,high,low,last,evol
2025-09-04 09:44:00,53.8158,53.8158,53.78,53.795,9307
2025-09-04 09:43:00,53.83,53.845,53.815,53.8158,40398
2025-09-04 09:42:00,53.825,53.83,53.7819,53.83,25153
2025-09-04 09:41:00,53.82,53.84,53.8146,53.825,38242
2025-09-04 09:40:00,53.725,53.81,53.725,53.81,47529
2025-09-04 09:39:00,53.705,53.725,53.705,53.725,40143
2025-09-04 09:38:00,53.69,53.7281,53.69,53.705,24786
2025-09-04 09:37:00,53.68,53.715,53.68,53.7,42888
2025-09-04 09:36:00,53.63,53.68,53.63,53.6772,35774
2025-09-04 09:35:00,53.595,53.64,53.595,53.63,98536
2025-09-04 09:34:00,53.57,53.605,53.569,53.595,88030
2025-09-04 09:33:00,53.585,53.61,53.57,53.57,146862
2025-09-04 09:32:00,53.61,53.625,53.585,53.585,66519
2025-09-04 09:31:00,53.62,53.62,53.58,53.61,48698
2025-09-04 09:30:00,53.695,53.7,53.61,53.62,112144
2025-09-04 09:28:00,53.62,53.62,53.62,53.62,1
2025-09-04 09:26:00,53.61,53.61,53.61,53.61,100
2025-09-04 09:25:00,53.61,53.64,53.61,53.63,654
2025-09-04 09:24:00,53.62,53.62,53.62,53.62,20
2025-09-04 09:22:00,53.62,53.62,53.62,53.62,20
2025-09-04 09:20:00,53.6201,53.6201,53.6201,53.6201,50
2025-09-04 09:19:00,53.63,53.63,53.63,53.63,430
2025-09-04 09:16:00,53.6201,53.63,53.6201,53.63,702
2025-09-04 09:13:00,53.63,53.63,53.63,53.63,1000
2025-09-04 09:11:00,53.6201,53.6201,53.62,53.62,109
2025-09-04 09:10:00,53.62,53.6288,53.62,53.6288,2
2025-09-04 09:09:00,53.61,53.61,53.61,53.61,20
2025-09-04 09:08:00,53.61,53.61,53.61,53.61,200
2025-09-04 09:07:00,53.6088,53.61,53.6088,53.61,101
2025-09-04 09:03:00,53.6297,53.6297,53.6297,53.6297,5
2025-09-04 09:02:00,53.625,53.625,53.62,53.62,16
2025-09-04 08:58:00,53.625,53.625,53.625,53.625,2
2025-09-04 08:57:00,53.6201,53.63,53.6201,53.63,8
2025-09-04 08:56:00,53.6299,53.63,53.6299,53.63,7
2025-09-04 08:55:00,53.625,53.625,53.625,53.625,1
2025-09-04 08:50:00,53.6201,53.6201,53.62,53.62,12
2025-09-04 08:49:00,53.6101,53.6201,53.6101,53.6201,201
2025-09-04 08:48:00,53.61,53.6197,53.6099,53.6197,119
2025-09-04 08:47:00,53.61,53.61,53.61,53.61,47
2025-09-04 08:45:00,53.6001,53.6001,53.6001,53.6001,100
2025-09-04 08:42:00,53.6002,53.61,53.6,53.61,348
2025-09-04 08:40:00,53.6,53.6,53.6,53.6,63
2025-09-04 08:36:00,53.5801,53.5801,53.5801,53.5801,100
2025-09-04 08:35:00,53.59,53.59,53.59,53.59,15
2025-09-04 08:34:00,53.5899,53.5899,53.5899,53.5899,1210
2025-09-04 08:32:00,53.59,53.59,53.59,53.59,1000
2025-09-04 08:31:00,53.6109,53.6109,53.6109,53.6109,10
2025-09-04 08:30:00,53.62,53.67,53.62,53.67,13638
2025-09-04 08:29:00,53.63,53.63,53.62,53.63,1325
2025-09-04 08:28:00,53.6,53.62,53.6,53.62,8587
2025-09-04 08:25:00,53.61,53.62,53.61,53.62,3000
2025-09-04 08:21:00,53.5902,53.5902,53.5902,53.5902,920
2025-09-04 08:20:00,53.59,53.59,53.59,53.59,1200
2025-09-04 08:19:00,53.6,53.6,53.6,53.6,534
2025-09-04 08:17:00,53.6,53.6,53.6,53.6,100
2025-09-04 08:14:00,53.595,53.595,53.595,53.595,171
2025-09-04 08:12:00,53.58,53.58,53.58,53.58,30
2025-09-04 08:10:00,53.5999,53.6,53.5999,53.6,30
2025-09-04 08:09:00,53.6,53.6,53.5999,53.5999,320
2025-09-04 08:08:00,53.6,53.6,53.6,53.6,10
2025-09-04 08:07:00,53.5,53.5,53.5,53.5,1484
2025-09-04 08:06:00,53.61,53.61,53.6,53.6,104
2025-09-04 08:05:00,53.5,53.5,53.5,53.5,1
2025-09-04 08:03:00,53.6,53.6,53.6,53.6,4
2025-09-04 08:02:00,53.5,53.5,53.5,53.5,18
2025-09-04 08:01:00,53.635,53.635,53.625,53.625,2
2025-09-04 08:00:00,53.64,53.7315,53.5,53.5,2335
2025-09-04 07:57:00,53.6,53.6,53.6,53.6,100
2025-09-04 07:54:00,53.6,53.6,53.6,53.6,32
2025-09-04 07:39:00,53.61,53.61,53.61,53.61,208
2025-09-04 07:37:00,53.64,53.64,53.63,53.63,308
2025-09-04 07:35:00,53.63,53.63,53.63,53.63,170
2025-09-04 07:34:00,53.64,53.64,53.64,53.64,100
2025-09-04 07:25:00,53.62,53.62,53.62,53.62,432
2025-09-04 07:23:00,53.62,53.62,53.62,53.62,3
2025-09-04 07:22:00,53.62,53.62,53.62,53.62,320
2025-09-04 07:17:00,53.64,53.64,53.64,53.64,30
2025-09-04 07:16:00,53.64,53.64,53.64,53.64,8
2025-09-04 07:06:00,53.63,53.63,53.63,53.63,20
2025-09-04 07:04:00,53.63,53.63,53.63,53.63,90
2025-09-04 07:01:00,53.61,53.63,53.61,53.63,1140
2025-09-04 06:51:00,53.62,53.62,53.62,53.62,1200
2025-09-04 06:49:00,53.61,53.61,53.61,53.61,1283
2025-09-04 06:44:00,53.62,53.62,53.62,53.62,30
2025-09-04 06:27:00,53.59,53.59,53.59,53.59,1020
2025-09-04 06:16:00,53.6,53.6,53.6,53.6,180
2025-09-04 06:15:00,53.61,53.61,53.61,53.61,190
2025-09-04 06:14:00,53.61,53.61,53.6,53.6,290
2025-09-04 06:11:00,53.58,53.58,53.58,53.58,46
2025-09-04 06:08:00,53.59,53.59,53.59,53.59,8
2025-09-04 06:03:00,53.59,53.59,53.59,53.59,20
2025-09-04 06:02:00,53.59,53.59,53.59,53.59,79
2025-09-04 05:52:00,53.56,53.56,53.56,53.56,70
2025-09-04 05:51:00,53.55,53.55,53.55,53.55,2
2025-09-04 05:14:00,53.58,53.58,53.58,53.58,1
2025-09-04 05:11:00,53.58,53.58,53.58,53.58,83
